words

2-letter words

అమ్మ (Amma)
ఆవు (Aavu)
ఆమె (Aame)
ఇల్లు (Illu)
ఈగ (Eega)
ఉమ (Uma)
ఊడ (Uuda)
ఋషి (Rushi)
ఎండ (Enda)
ఏడు (Aedu)
ఐదు (Aidu)
ఒక (Oka)
ఓడ (Oda)
ఔటు (Autu)
అంబ (Amba)
కన్ను (Kannu)
కాకి (Kaaki)
కిత (Kita)
కీలు (Keelu)
కుక్క (Kukka)
కూడు (Kuudu)
కుజ (Kuja)
కృషి (Krushi)
కెంపు (Kempu)
కేక (Keka)
కైపు (Kaipu)
కొంగు (Kongu)
కొత్త (Kottha)
కోతి (Kothi)
కౌలు (Kaulu)
కంచు (Kanchu)
ఖర (Khara)
ఖాదీ (Khadi)
గడ్డి (Gaddi)
గాలి (Gaali)
గీత (Geeta)
గింజ (Ginja)
గీత (Geeta)
గుడి (Gudi)
గూడు (Guudu)
గృహ (Gruha)
గెల (Gela)
గేదె (Gedhe)
గొడ్డు (Goddu)
గోడు (Godu)
గౌరి (Gauri)
గాను (Gaanu)
గంగ (Ganga)
గంజి (Ganji)
ఘంట (Ghanta)
చలి (Chali)
చారు (Chaaru)
చాట (Chaata)
చిక్కు (Chikku)
చీమ (Cheema)
చుట్టు (Chuttu)
చూపు (Chuupu)
చెట్టు (Chettu)
చేడు (Chedu)
చైను (Chainu)
చొక్కా (Chokka)
చోటు (Chotu)
చౌక (Chauka)
చంక (Chanka)
జడ (Jada)
జాజి (Jaaji)
జింక (Jinka)
జీడి (Jeedi)
జుట్టు (Juttu)
జూలు (Juulu)
జెట్టి (Jetti)
జేజే (Jeje)
జైలు (Jailu)
జోడు (Jodu)
జౌళి (Jauli)
జంకు (Janku)
టపా (Tapa)
టాపు (Taapu)
టింకు (Tinku)
టీకా (Teeka)
టంకె (Tanke)
టేకు (Teku)
టైము (Time-u)
టోపి (Topi)
డబ్బు (Dabbu)
డాలు (Daalu)
డెక్క (Dekka)
డేగ (Dega)
డొక్క (Dokka)
డోలు (Dolu)
ఢక్క (Dhakka)
ఢాక (Dhaka)
ఢిల్లీ (Delhi)
తల (Thala)
తాత (Thata)
తిక్క (Thikka)
తీగ (Theega)
తుది (Thudhi)
తూము (Thuumu)
తెచ్చు (Thecchu)
తేలు (Thelu)
తృష్ణ (Trushna)
తొట్టి (Thotti)
తోలు (Tholu)
తాడు (Taadu)
తంతి (Tanthi)
దయ (Daya)
దడ (Dada)
దారి (Daari)
దిక్కు (Dikku)
దీటు (Deetu)
దుత్త (Duttha)
దూడ (Duuda)
దృష్టి (Drushti)
దెబ్బ (Debba)
(Image Box Starts)
దేవి (Devi)
దైవం (Daivam)
దొర (Dora)
దోర (Dora - long 'o')
దౌడు (Daudu)
దండి (Dandi)
ధర (Dhara)
ధాత (Dhata)
ధూళి (Dhuuli)
నగ (Naga)
నక్క (Nakka)
నారు (Naaru)
నిద్ర (Nidra)
నీరు (Neeru)
నుగ్గు (Nuggu)
నూరు (Nuuru)
నెత్తి (Netthi)
నేత (Neta)
నైసు (Naisu)
నొప్పి (Noppi)
నోరు (Noru)
నౌక (Nauka)
నంది (Nandi)
పగ (Paga)
పాపి (Paapi)
పిడి (Pidi)
పీత (Peetha)
పులి (Puli)
(Image Box Ends)
పూవు (Puuvu)
పెండ్లి (Pendli)
